DATE,COUNTRY,PRODUCT,SALES
1/1/2018,INDIA,TV,158
1/2/2018,UK,TAB,537
1/3/2018,US,PHONE,63
1/4/2018,GERMANY,SPEAKERS,816
1/5/2018,INDIA,IPHONE,969
1/6/2018,UK,TV,348
1/7/2018,US,TAB,282
1/8/2018,GERMANY,PHONE,303
1/9/2018,INDIA,SPEAKERS,552
1/10/2018,UK,IPHONE,679
1/11/2018,US,TV,574
1/12/2018,GERMANY,TAB,754
1/13/2018,INDIA,PHONE,336
1/14/2018,UK,SPEAKERS,55
1/15/2018,US,IPHONE,680
1/16/2018,GERMANY,TV,667
1/17/2018,INDIA,TAB,325
1/18/2018,UK,PHONE,361
1/19/2018,US,SPEAKERS,442
1/20/2018,GERMANY,IPHONE,328
1/21/2018,INDIA,TV,536
1/22/2018,UK,TAB,111
1/23/2018,US,PHONE,810
1/24/2018,GERMANY,SPEAKERS,179
1/25/2018,INDIA,IPHONE,163
1/26/2018,UK,TV,448
1/27/2018,US,TAB,206
1/28/2018,GERMANY,PHONE,228
1/29/2018,INDIA,SPEAKERS,545
1/30/2018,UK,IPHONE,240
1/31/2018,US,TV,146
2/1/2018,GERMANY,TAB,621
2/2/2018,INDIA,PHONE,132
2/3/2018,UK,SPEAKERS,151
2/4/2018,US,IPHONE,966
2/5/2018,GERMANY,TV,864
2/6/2018,INDIA,TAB,899
2/7/2018,UK,PHONE,464
2/8/2018,US,SPEAKERS,661
2/9/2018,GERMANY,IPHONE,245
2/10/2018,INDIA,TV,391
2/11/2018,UK,TAB,856
2/12/2018,US,PHONE,343
2/13/2018,GERMANY,SPEAKERS,336
2/14/2018,INDIA,IPHONE,699
2/15/2018,UK,TV,887
2/16/2018,US,TAB,531
2/17/2018,GERMANY,PHONE,962
2/18/2018,INDIA,SPEAKERS,706
2/19/2018,UK,IPHONE,490
2/20/2018,US,TV,228
2/21/2018,GERMANY,TAB,144
2/22/2018,INDIA,PHONE,250
2/23/2018,UK,SPEAKERS,406
2/24/2018,US,IPHONE,286
2/25/2018,GERMANY,TV,9
2/26/2018,INDIA,TAB,678
2/27/2018,UK,PHONE,89
2/28/2018,US,SPEAKERS,455
3/1/2018,GERMANY,IPHONE,980
3/2/2018,INDIA,TV,811
3/3/2018,UK,TAB,684
3/4/2018,US,PHONE,169
3/5/2018,GERMANY,SPEAKERS,822
3/6/2018,INDIA,IPHONE,579
3/7/2018,UK,TV,282
3/8/2018,US,TAB,637
3/9/2018,GERMANY,PHONE,304
3/10/2018,INDIA,SPEAKERS,697
3/11/2018,UK,IPHONE,3
3/12/2018,US,TV,897
3/13/2018,GERMANY,TAB,675
3/14/2018,INDIA,PHONE,508
3/15/2018,UK,SPEAKERS,637
3/16/2018,US,IPHONE,805
3/17/2018,GERMANY,TV,989
3/18/2018,INDIA,TAB,632
3/19/2018,UK,PHONE,572
3/20/2018,US,SPEAKERS,418
3/21/2018,GERMANY,IPHONE,459
3/22/2018,INDIA,TV,961
3/23/2018,UK,TAB,55
3/24/2018,US,PHONE,516
3/25/2018,GERMANY,SPEAKERS,988
3/26/2018,INDIA,IPHONE,343
3/27/2018,UK,TV,342
3/28/2018,US,TAB,154
3/29/2018,GERMANY,PHONE,933
3/30/2018,INDIA,SPEAKERS,87
3/31/2018,UK,IPHONE,4
4/1/2018,US,TV,368
4/2/2018,GERMANY,TAB,558
4/3/2018,INDIA,PHONE,728
4/4/2018,UK,SPEAKERS,641
4/5/2018,US,IPHONE,513
4/6/2018,GERMANY,TV,291
4/7/2018,INDIA,TAB,398
4/8/2018,UK,PHONE,659
4/9/2018,US,SPEAKERS,219
4/10/2018,GERMANY,IPHONE,310
4/11/2018,INDIA,TV,913
4/12/2018,UK,TAB,391
4/13/2018,US,PHONE,947
4/14/2018,GERMANY,SPEAKERS,515
4/15/2018,INDIA,IPHONE,924
